nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Tight Polling method selected
Please, press PB0 to continue, or change switch position and press PB1
2, 1, 9507, 4, 53378, 0,
4, 2, 1, 6, 34561, 7737,
6, 3, 1, 8, 50182, 18655,
8, 4, 7601, 8, 1847, 0,
10, 5, 1, 8, 12075, 0,
12, 6, 1, 8, 53820, 0,
14, 7, 1, 9, 46964, 0,
16, 8, 1, 9, 40069, 0,
18, 9, 6908, 13, 31672, 0,
20, 10, 1, 14, 12256, 0,
22, 11, 7515, 17, 14732, 0,
24, 12, 1, 19, 57964, 0,
26, 13, 1, 20, 40255, 0,
28, 14, 1, 23, 1033, 0,
30, 15, 8382, 24, 61454, 0,
32, 16, 1, 26, 39503, 0,
34, 17, 1, 29, 36799, 0,
36, 18, 6863, 31, 45840, 0,
38, 19, 1, 32, 28457, 0,
40, 20, 1, 30, 24155, 0,
42, 21, 8249, 35, 42705, 0,
44, 22, 6768, 34, 36711, 0,
46, 23, 1, 32, 13128, 0,
48, 24, 6561, 39, 33440, 0,
50, 25, 6797, 41, 31665, 0,
52, 26, 1, 32, 6840, 0,
54, 27, 7031, 43, 28686, 0,
56, 28, 7593, 47, 30686, 0,
58, 29, 7607, 49, 29530, 0,
60, 30, 1, 24, 333, 0,
62, 31, 1, 21, 423, 0,
64, 32, 1, 26, 288, 0,
66, 33, 8330, 57, 27329, 0,
68, 34, 7871, 57, 24637, 0,
70, 35, 6877, 53, 20901, 0,
72, 36, 6695, 55, 20333, 0,
74, 37, 6495, 62, 19821, 0,
76, 38, 1, 27, 236, 0,
78, 39, 1, 22, 236, 0,
80, 40, 1, 26, 235, 0,
82, 41, 1, 40, 228, 0,
84, 42, 1, 30, 235, 0,
86, 43, 6625, 69, 16104, 0,
88, 44, 7145, 67, 15078, 0,
90, 45, 7172, 71, 14569, 0,
92, 46, 7207, 73, 17674, 0,
94, 47, 1, 34, 197, 0,
96, 48, 1, 33, 185, 0,
98, 49, 1, 32, 275, 0,
100, 50, 1, 29, 187, 0,
102, 51, 1, 34, 182, 0,
104, 52, 1, 36, 187, 0,
106, 53, 1, 28, 185, 0,
108, 54, 1, 30, 238, 0,
110, 55, 1, 26, 169, 0,
112, 56, 5801, 82, 11744, 0,
114, 57, 5700, 81, 11542, 0,
116, 58, 5603, 80, 11347, 0,
118, 59, 7219, 103, 13057, 0,
120, 60, 8081, 100, 13700, 0,
122, 61, 9119, 113, 15853, 0,
124, 62, 8931, 115, 15348, 0,
126, 63, 8457, 109, 14216, 0,
128, 64, 8319, 117, 13998, 0,
130, 65, 8550, 116, 13014, 0,
132, 66, 7364, 103, 12471, 0,
134, 67, 7285, 98, 11063, 0,
136, 68, 7179, 97, 7315, 0,
138, 69, 7077, 93, 7210, 0,
140, 70, 6975, 95, 7110, 0,
142, 71, 1, 44, 136, 0,
144, 72, 1, 28, 214, 0,
146, 73, 1, 32, 132, 0,
148, 74, 1, 35, 135, 0,
150, 75, 1, 36, 126, 0,
152, 76, 1, 35, 119, 0,
154, 77, 1, 31, 116, 0,
156, 78, 1, 30, 185, 0,
158, 79, 1, 29, 118, 0,
160, 80, 1, 28, 108, 0,
162, 81, 1, 31, 103, 0,
164, 82, 1, 35, 105, 0,
166, 83, 1, 27, 140, 0,
168, 84, 1, 24, 98, 0,
170, 85, 1, 26, 92, 0,
172, 86, 1, 28, 93, 0,
174, 87, 1, 24, 96, 0,
176, 88, 1, 20, 93, 0,
178, 89, 1, 27, 138, 0,
180, 90, 1, 25, 93, 0,
182, 91, 1, 22, 92, 0,
184, 92, 1, 26, 95, 0,
186, 93, 1, 28, 92, 0,
188, 94, 1, 25, 95, 0,
190, 95, 1, 24, 126, 0,
192, 96, 1, 40, 90, 0,
194, 97, 6743, 128, 6833, 0,
196, 98, 6677, 139, 6763, 0,
198, 99, 6607, 132, 6697, 0,
200, 100, 6543, 139, 6630, 0,
202, 101, 4835, 104, 4970, 0,
204, 102, 6413, 144, 6502, 0,
206, 103, 4764, 111, 4852, 0,
208, 104, 4718, 114, 4807, 0,
210, 105, 4674, 122, 4760, 0,
212, 106, 4612, 198, 4734, 0,
214, 107, 4586, 112, 4674, 0,
216, 108, 4545, 112, 4630, 0,
218, 109, 4505, 112, 4587, 0,
220, 110, 4469, 118, 4541, 0,
222, 111, 4433, 121, 4496, 0,
224, 112, 4376, 119, 4475, 0,
226, 113, 4356, 122, 4417, 0,
228, 114, 4316, 120, 4380, 0,
230, 115, 4280, 121, 4341, 0,
232, 116, 4242, 122, 4306, 0,
234, 117, 4205, 122, 4271, 0,
236, 118, 4151, 120, 4253, 0,
238, 119, 4137, 123, 4197, 0,
240, 120, 4103, 126, 4162, 0,
242, 121, 4073, 133, 4125, 0,
244, 122, 4038, 131, 4093, 0,
246, 123, 4040, 129, 4025, 0,
248, 124, 4156, 130, 3845, 0,
250, 125, 4948, 133, 2989, 0,
252, 126, 4741, 133, 3134, 0,
254, 127, 4872, 135, 2941, 0,
256, 128, 4887, 138, 2865, 0,
258, 129, 5072, 135, 2621, 0,
260, 130, 5067, 134, 2567, 0,
262, 131, 5420, 135, 2156, 0,
264, 132, 5538, 137, 1981, 0,
266, 133, 5852, 143, 1612, 0,
268, 134, 6495, 135, 913, 0,
270, 135, 6722, 133, 634, 0,
272, 136, 7199, 135, 102, 0,
274, 137, 7159, 135, 89, 0,
276, 138, 7105, 130, 90, 0,
278, 139, 7057, 166, 3615, 0,
280, 140, 7011, 175, 3587, 0,
282, 141, 6925, 164, 3580, 0,
284, 142, 1, 26, 48, 0,
286, 143, 6865, 162, 3512, 0,
288, 144, 1, 24, 50, 0,
290, 145, 6779, 163, 3460, 0,
292, 146, 1, 25, 50, 0,
294, 147, 1, 26, 75, 0,
296, 148, 1, 29, 49, 0,
298, 149, 1, 33, 48, 0,
300, 150, 1, 25, 47, 0,
302, 151, 1, 25, 48, 0,
304, 152, 1, 42, 46, 0,
306, 153, 1, 49, 80, 0,
308, 154, 1, 30, 48, 0,
310, 155, 1, 33, 47, 0,
312, 156, 1, 39, 48, 0,
314, 157, 1, 38, 47, 0,
316, 158, 1, 37, 49, 0,
318, 159, 1, 36, 73, 0,
320, 160, 1, 35, 46, 0,
322, 161, 1, 36, 48, 0,
324, 162, 1, 33, 46, 0,
326, 163, 1, 45, 50, 0,
328, 164, 1, 37, 46, 0,
330, 165, 1, 30, 71, 0,
332, 166, 1, 29, 47, 0,
334, 167, 1, 28, 46, 0,
336, 168, 1, 27, 48, 0,
338, 169, 1, 23, 46, 0,
340, 170, 1, 25, 66, 0,
342, 171, 1, 24, 47, 0,
344, 172, 1, 24, 46, 0,
346, 173, 1, 27, 46, 0,
348, 174, 1, 32, 45, 0,
350, 175, 1, 30, 45, 0,
352, 176, 1, 48, 65, 0,
354, 177, 1, 33, 45, 0,
356, 178, 5543, 182, 2816, 0,
358, 179, 1, 29, 45, 0,
360, 180, 5483, 179, 2784, 0,
362, 181, 1, 31, 46, 0,
364, 182, 1, 34, 65, 0,
366, 183, 1, 41, 46, 0,
368, 184, 1, 38, 45, 0,
370, 185, 1, 37, 45, 0,
372, 186, 1, 36, 46, 0,
374, 187, 1, 39, 47, 0,
376, 188, 1, 34, 68, 0,
378, 189, 1, 35, 45, 0,
380, 190, 1, 32, 46, 0,
382, 191, 1, 52, 45, 0,
384, 192, 1, 30, 45, 0,
386, 193, 1, 29, 46, 0,
388, 194, 1, 35, 67, 0,
390, 195, 1, 27, 46, 0,
392, 196, 1, 27, 45, 0,
394, 197, 1, 25, 45, 0,
396, 198, 1, 28, 46, 0,
398, 199, 1, 23, 61, 0,
