nios2-terminal: connected to hardware target using JTAG UART on cable
nios2-terminal: "USB-Blaster [USB-0]", device 1, instance 0
nios2-terminal: (Use the IDE stop button or Ctrl-C to terminate)

Tight Polling method selected
Please, press PB0 to continue, or change switch position and press PB1
2, 1, 7633, 4, 51637, 0
4, 2, 1, 6, 33731, 5020
6, 3, 7569, 8, 58624, 1962
8, 4, 6448, 8, 588, 0
10, 5, 6003, 8, 30281, 0
12, 6, 5258, 8, 6589, 0
14, 7, 8345, 9, 57673, 0
16, 8, 8521, 10, 44540, 0
18, 9, 1, 13, 21438, 0
20, 10, 7571, 15, 23733, 0
22, 11, 1, 17, 64912, 0
24, 12, 1, 19, 58832, 0
26, 13, 4442, 15, 1574, 0
28, 14, 6872, 23, 60634, 0
30, 15, 1, 25, 55296, 0
32, 16, 1, 27, 39581, 0
34, 17, 6236, 28, 50543, 0
36, 18, 6886, 31, 45830, 0
38, 19, 1, 32, 28435, 0
40, 20, 1, 30, 24038, 0
42, 21, 1, 31, 20069, 0
44, 22, 8071, 35, 40788, 0
46, 23, 7627, 38, 37854, 0
48, 24, 1, 33, 11059, 0
50, 25, 6792, 41, 31670, 0
52, 26, 7190, 41, 29848, 0
54, 27, 1, 32, 2453, 0
56, 28, 1, 26, 489, 0
58, 29, 6605, 49, 26729, 0
60, 30, 9605, 51, 32247, 0
62, 31, 1, 23, 316, 0
64, 32, 6664, 54, 23641, 0
66, 33, 1, 31, 387, 0
68, 34, 8341, 59, 26486, 0
70, 35, 7863, 55, 23846, 0
72, 36, 6696, 58, 20332, 0
74, 37, 6521, 60, 19795, 0
76, 38, 1, 25, 235, 0
78, 39, 1, 20, 330, 0
80, 40, 1, 25, 230, 0
82, 41, 7865, 66, 19877, 0
84, 42, 6364, 66, 16892, 0
86, 43, 6611, 67, 16117, 0
88, 44, 7161, 71, 15063, 0
90, 45, 1, 39, 285, 0
92, 46, 1, 39, 209, 0
94, 47, 1, 34, 186, 0
96, 48, 1, 33, 186, 0
98, 49, 1, 32, 191, 0
100, 50, 1, 31, 183, 0
102, 51, 6326, 73, 12906, 0
104, 52, 6232, 75, 12637, 0
106, 53, 6115, 76, 12407, 0
108, 54, 6004, 72, 12179, 0
110, 55, 7085, 92, 14315, 0
112, 56, 8601, 93, 15824, 0
114, 57, 8536, 104, 15534, 0
116, 58, 8415, 101, 15747, 0
